-1.00E-04,0.002,0.0025,0.015,0.01,-4.00E-05
3.00E-04,-0.0023,3.00E-04,0.022,-0.011,5.00E-05
-2.00E-04,0.0059,-6.00E-04,0.014,-0.005,1.70E-04
-2.00E-04,0.0046,1.00E-04,0.011,0.015,-9.00E-05
2.00E-04,-0.0076,0.0012,0.01,0.001,-1.00E-04
1.00E-04,-0.0073,0.0013,0.01,-0.013,6.00E-05
-1.00E-04,0.0054,0.0027,0.017,-0.022,1.40E-04
-1.00E-04,0.0061,0.0018,0.019,-0.008,-1.00E-05
1.00E-04,-0.0038,8.00E-04,0.015,-0.014,1.00E-05
1.00E-04,0.0041,0.0012,0.013,-0.011,5.00E-05
-1.00E-04,0.0058,0.0012,0.014,0.002,4.00E-05
-1.00E-04,0.0056,0.0013,0.014,0.01,-4.00E-05
2.00E-04,-0.0067,1.00E-04,0.012,0.004,-1.10E-04
-2.00E-04,0.0042,0.0027,0.008,-0.007,9.00E-05
1.00E-04,-0.0033,4.00E-04,0.013,-0.013,0
-1.00E-04,0.0044,0.0015,0.009,-0.001,1.00E-05
-2.00E-04,0.0044,4.00E-04,0.008,0.01,8.00E-05
2.00E-04,-0.0047,-4.00E-04,0.016,0.008,-8.00E-05
-1.00E-04,0.0047,-2.00E-04,0.003,0.005,1.40E-04
-2.00E-04,0.0059,0.0017,0.005,0.013,4.00E-05
1.00E-04,-0.0054,7.00E-04,0.017,0.015,-1.10E-04
1.00E-04,-0.0061,8.00E-04,0.017,0.005,-2.00E-05
-2.00E-04,0.0043,-4.00E-04,0.007,-0.006,1.30E-04
2.00E-04,-0.0051,0.0014,0.011,-0.014,-3.00E-05
-2.00E-04,0.0067,2.00E-04,0.01,0,4.00E-05
1.00E-04,0.0048,0.0012,0.011,0.011,-1.70E-04
1.00E-04,-0.0038,8.00E-04,0.011,0.015,-2.00E-04
2.00E-04,-0.0067,1.00E-04,0.009,0.006,-1.40E-04
-1.00E-04,0.0053,7.00E-04,0.005,-0.002,4.00E-05
-2.00E-04,0.0031,0.0019,0.008,0.01,-1.10E-04
1.00E-04,-0.0065,0.0022,0.014,0.005,-1.70E-04
2.00E-04,-0.0068,-8.00E-04,0.011,-0.01,1.00E-04
-1.00E-04,0.0067,0.002,0.003,-0.004,8.00E-05
-2.00E-04,0.0044,0.0023,0.007,0.011,-1.30E-04
3.00E-04,-0.0088,0.0016,0.014,-0.009,-1.00E-04
1.00E-04,-0.0047,-1.00E-04,0.012,-0.028,2.40E-04
-1.00E-04,0.0057,-1.00E-04,0.007,-0.026,2.20E-04
-1.00E-04,0.0088,1.00E-04,0.004,-0.004,3.00E-05
-1.00E-04,0.0068,0.0013,0.006,0.013,-1.40E-04
1.00E-04,-0.0074,0.0014,0.011,0.006,-1.00E-04
-1.00E-04,0.005,0.001,0.012,-0.022,1.60E-04
1.00E-04,-0.0045,5.00E-04,0.011,-0.011,-5.00E-05
2.00E-04,-0.0058,0.0016,0.009,-0.014,-5.00E-05
-1.00E-04,0.008,0.0011,0.01,-0.005,8.00E-05
-1.00E-04,0.0054,0.0014,0.012,0.015,-1.40E-04
1.00E-04,-0.0036,0.0015,0.015,0.019,-1.70E-04
1.00E-04,-0.0061,0.0014,0.017,0.002,-3.00E-05
1.00E-04,-0.0035,-5.00E-04,0.017,-0.012,1.20E-04
-2.00E-04,0.0065,-1.00E-04,0.012,-0.003,1.40E-04
-2.00E-04,0.0023,0.0012,0.012,0.027,-1.50E-04
2.00E-04,-0.0052,9.00E-04,0.013,0.023,-2.90E-04
1.00E-04,-0.0038,-8.00E-04,0.007,-0.01,1.20E-04
-2.00E-04,0.0045,0.0019,0,-0.006,1.10E-04
1.00E-04,-0.004,0.0015,0.009,-0.01,-1.00E-05
-1.00E-04,0.0051,0.0011,0.008,-0.007,1.10E-04
-1.00E-04,0.0022,0.0014,0.01,0.01,-1.00E-04
2.00E-04,-0.0034,0.0016,0.013,0.008,-1.30E-04
-1.00E-04,0.0039,2.00E-04,0.008,0.01,1.00E-05
1.00E-04,-0.0059,8.00E-04,0.011,0.006,-1.60E-04
1.00E-04,-0.0053,4.00E-04,0.01,-0.01,7.00E-05
-2.00E-04,0.0059,0.0021,0.003,0.003,1.00E-05
3.00E-04,-0.0078,0.002,0.01,0.002,-2.20E-04
-1.00E-04,0.0065,2.00E-04,0.004,-0.014,1.80E-04
-3.00E-04,0.0084,0.0023,0.004,0.002,4.00E-05
1.00E-04,0.0042,0.0028,0.009,0.017,-2.80E-04
1.00E-04,-0.0046,0.0026,0.018,0.015,-1.60E-04
1.00E-04,-0.0022,0.002,0.001,-0.01,-2.00E-05
-2.00E-04,0.004,0.0013,0.004,-0.007,1.10E-04
1.00E-04,-0.0031,0.0012,0.016,-0.01,0
-3.00E-04,0.0048,-9.00E-04,0.01,-0.007,1.80E-04
2.00E-04,-0.0059,8.00E-04,0.009,-0.014,-3.00E-05
-1.00E-04,0.0045,3.00E-04,0.005,-0.024,2.20E-04
-1.00E-04,0.0077,5.00E-04,0.003,-0.007,4.00E-05
-2.00E-04,0.0056,0.0018,0.005,0.011,-1.20E-04
-3.00E-04,0.0055,1.00E-04,0.01,0.013,9.00E-05
-1.00E-04,-3.00E-04,5.00E-04,0.012,0.027,-1.30E-04
-1.00E-04,0.0033,2.00E-04,0.006,0.028,1.00E-05
2.00E-04,-0.0051,7.00E-04,0.006,-0.01,7.00E-05
-2.00E-04,0.009,0.0012,0.004,0.004,1.40E-04
1.00E-04,-0.0042,0.0028,0.018,0.024,-1.90E-04
-1.00E-04,0.0039,-7.00E-04,0.009,0.007,1.30E-04
1.00E-04,-0.0051,7.00E-04,0.008,-0.01,7.00E-05
-2.00E-04,0.0055,0.0025,0.005,-0.002,3.00E-05
-1.00E-04,2.00E-04,0.0019,0.01,0.01,-1.60E-04
3.00E-04,-0.0045,0.0021,0.013,0.005,-1.80E-04
-2.00E-04,0.004,4.00E-04,0.01,-0.008,1.70E-04
-1.00E-04,0.0039,7.00E-04,0.01,0.011,-4.00E-05
2.00E-04,-0.0047,9.00E-04,0.011,0.008,-1.10E-04
1.00E-04,-7.00E-04,6.00E-04,0.01,-0.01,1.00E-04
-2.00E-04,0.0031,-5.00E-04,0.006,-0.007,1.40E-04
1.00E-04,-0.003,0.001,0.006,-0.012,0
-1.00E-04,0.0068,6.00E-04,0.004,0.004,7.00E-05
2.00E-04,-0.0071,4.00E-04,0.012,0.001,-7.00E-05
1.00E-04,-0.0052,6.00E-04,0.011,-0.013,1.80E-04
-1.00E-04,0.0065,5.00E-04,0.009,-0.008,1.60E-04
-1.00E-04,0.008,0.0029,0.011,0.005,3.00E-05
2.00E-04,-0.0077,0,0.015,0.007,-8.00E-05
6.00E-04,-0.0112,4.00E-04,0.02,-0.009,-1.10E-04
-1.00E-04,0.0065,0.0011,0.013,-0.006,0
-3.00E-04,0.0045,4.00E-04,0.012,0.01,-9.00E-05
5.00E-04,-0.0048,3.00E-04,0.016,0.011,-2.80E-04
-2.00E-04,0.0043,-5.00E-04,0.013,-0.003,3.00E-05
1.00E-04,-0.0037,0.0016,0.015,0,-1.10E-04
2.00E-04,-0.0036,0.0016,0.016,-0.01,3.00E-05
-2.00E-04,0.0051,0.0018,0.01,-0.005,1.00E-04
-1.00E-04,0.0021,0.0033,0.019,0.01,-1.40E-04
4.00E-04,-0.0054,-3.00E-04,0.017,0.005,-2.30E-04
2.00E-04,-0.0012,1.00E-04,0.014,-0.01,2.00E-04
-2.00E-04,0.0047,-9.00E-04,0.01,-0.006,2.70E-04
-1.00E-04,0.0084,0.0014,0.011,0.018,3.00E-05
-1.00E-04,0.0071,-2.00E-04,0.013,0.033,-9.00E-05
-1.00E-04,0.0021,0,0.011,0.046,-2.00E-04
2.00E-04,-0.0056,4.00E-04,0.011,0.041,-2.60E-04
-1.00E-04,-9.00E-04,4.00E-04,0.007,-0.009,1.80E-04
-1.00E-04,0.0045,0.0022,0.01,-0.004,2.00E-04
-1.00E-04,0.0063,0.0017,0.013,0.012,1.00E-05
-1.00E-04,0.0042,9.00E-04,0.015,0.031,-8.00E-05
